"filename", "language", "XML", "Gradle", "Batch", "Java Properties", "Markdown", "Java", "JSON", "HTML", "JavaScript", "CSS", "Less", "XSL", "comment", "blank", "total"
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/BasicOpMode_Linear.class", "Java", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptAprilTag.class", "Java", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 37
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptAprilTagEasy.class", "Java", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptAprilTagLocalization.class", "Java", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 47
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptAprilTagMultiPortal.class", "Java", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptAprilTagOptimizeExposure.class", "Java", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 5, 0, 47
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptAprilTagSwitchableCameras.class", "Java", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 48
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptExploringIMUOrientation.class", "Java", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 2, 42
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptExternalHardwareClass.class", "Java", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 35
"/Users/gavinatkinson/Documents/Code/FTC-2024-2025/FtcRobotController/build/intermediates/javac/debug/compileDebugJavaWithJavac/classes/org/firstinspires/ftc/robotcontroller/external/samples/ConceptGamepadRumble.class", "Java", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 2, 37
